period,referenceId,directorActivityHash,instanceId,mode,modes,isPrivate,membershipType,assists,completed,deaths,kills,opponentsDefeated,efficiency,killsDeathsRatio,killsDeathsAssists,score,activityDurationSeconds,team,completionReason,fireteamId,startSeconds,timePlayedSeconds,playerCount,teamScore
2020-03-09T13:07:40Z,548750096,548750096,5842080700,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'efficiency', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 1110.0, 'displayValue': '18m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -5.488040491054086e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 631.0, 'displayValue': '10m 31s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 458.0, 'displayValue': '7m 38s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-08T12:21:20Z,3213556450,3213556450,5837228136,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'kills', 'basic': {'value': 31.0, 'displayValue': '31'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 33.0, 'displayValue': '33'}}","{'statId': 'efficiency', 'basic': {'value': 5.5, 'displayValue': '5.50'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 5.166666666666667, 'displayValue': '5.17'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 5.333333333333333, 'displayValue': '5.33'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 1830.0, 'displayValue': '30m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 3.2638017816942295e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 107.0, 'displayValue': '1m 47s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 1631.0, 'displayValue': '27m 11s'}}","{'statId': 'playerCount', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-07T04:25:32Z,548750096,548750096,5830449617,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'kills', 'basic': {'value': 8.0, 'displayValue': '8'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 11.0, 'displayValue': '11'}}","{'statId': 'efficiency', 'basic': {'value': 5.5, 'displayValue': '5.50'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 4.0, 'displayValue': '4.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 4.75, 'displayValue': '4.75'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 810.0, 'displayValue': '13m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -7.114865264594862e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 4.0, 'displayValue': '0m 4s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 775.0, 'displayValue': '12m 55s'}}","{'statId': 'playerCount', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-07T04:22:08Z,548750096,548750096,5830394181,4,"[7, 4]",False,0,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'efficiency', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 120.0, 'displayValue': '2m 0s'}}","{'statId': 'team', 'basic': {'value': -1.0, 'displayValue': '-'}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'startSeconds', 'basic': {'value': 96.0, 'displayValue': '1m 36s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 11.0, 'displayValue': '0m 11s'}}","{'statId': 'playerCount', 'basic': {'value': 5.0, 'displayValue': '5'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-06T02:31:18Z,3333172150,3333172150,5825650418,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 1.0, 'displayValue': 'Yes'}}","{'statId': 'deaths', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'kills', 'basic': {'value': 30.0, 'displayValue': '30'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 32.0, 'displayValue': '32'}}","{'statId': 'efficiency', 'basic': {'value': 10.666666666666666, 'displayValue': '10.67'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 10.0, 'displayValue': '10.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 10.333333333333334, 'displayValue': '10.33'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 893.0, 'displayValue': '14m 53s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 0.0, 'displayValue': 'Objective Completed'}}","{'statId': 'fireteamId', 'basic': {'value': 1.8374105979352525e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 4.0, 'displayValue': '0m 4s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 889.0, 'displayValue': '14m 49s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-05T12:00:38Z,2659723068,2659723068,5823487495,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 40.0, 'displayValue': '40'}}","{'statId': 'completed', 'basic': {'value': 1.0, 'displayValue': 'Yes'}}","{'statId': 'deaths', 'basic': {'value': 17.0, 'displayValue': '17'}}","{'statId': 'kills', 'basic': {'value': 154.0, 'displayValue': '154'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 194.0, 'displayValue': '194'}}","{'statId': 'efficiency', 'basic': {'value': 11.411764705882353, 'displayValue': '11.41'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 9.058823529411764, 'displayValue': '9.06'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 10.235294117647058, 'displayValue': '10.24'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 5840.0, 'displayValue': '1h 37m'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 0.0, 'displayValue': 'Objective Completed'}}","{'statId': 'fireteamId', 'basic': {'value': -4.80275669592493e+16, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 5838.0, 'displayValue': '1h 37m'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-05T11:43:45Z,2659723068,2659723068,5823187142,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 5.0, 'displayValue': '5'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'efficiency', 'basic': {'value': 6.0, 'displayValue': '6.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 5.0, 'displayValue': '5.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 5.5, 'displayValue': '5.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 210.0, 'displayValue': '3m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.80275669592493e+16, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 188.0, 'displayValue': '3m 8s'}}","{'statId': 'playerCount', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-05T11:41:31Z,2659723068,2659723068,5823179301,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'efficiency', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 150.0, 'displayValue': '2m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.80275669592493e+16, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 3.0, 'displayValue': '0m 3s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 119.0, 'displayValue': '1m 59s'}}","{'statId': 'playerCount', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-05T11:39:07Z,2659723068,2659723068,5823173771,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 4.0, 'displayValue': '4'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 5.0, 'displayValue': '5'}}","{'statId': 'efficiency', 'basic': {'value': 5.0, 'displayValue': '5.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 4.0, 'displayValue': '4.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 4.5, 'displayValue': '4.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 150.0, 'displayValue': '2m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.80275669592493e+16, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 132.0, 'displayValue': '2m 12s'}}","{'statId': 'playerCount', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2020-03-05T11:36:30Z,2659723068,2659723068,5823167622,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'efficiency', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 150.0, 'displayValue': '2m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.80275669592493e+16, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 14.0, 'displayValue': '0m 14s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 130.0, 'displayValue': '2m 10s'}}","{'statId': 'playerCount', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
