activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic,favourable
[],,0,2,音乐会,852,北京,[],,1_1_646728851508,-2122646077,False,0,0,0,1,“天鹅湖Swan Lake”经典音乐——历经百年传世名曲音乐会,“天鹅湖Swan Lake”经典音乐——历经百年传世名曲音乐会,100.0,100-280,280.0,[],646728851508,[],售票中,,2021.07.14-07.28,3,18,其他,,三里屯·爱乐汇艺术空间,北京,2598006,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01UsmSjH2GdSKFg2bX0_!!2-item_pic.png,
[],,0,0,儿童亲子,852,北京,[],,1_1_649730267428,-2092631918,False,0,0,0,1,《小王子》,《小王子》,100.0,100-200,200.0,[],649730267428,[],售票中,,2021.07.31 周六,3,0,,,未来剧院,北京,1641013,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01bWIaD62GdSKOKmabm_!!2-item_pic.png,
[],,0,7,展览休闲,852,北京,[],,1_1_643628558930,2141318293,False,0,1,0,0,NEW ERA 潮流艺术展,NEW ERA 潮流艺术展,69.0,69-128,128.0,[],643628558930,[],售票中,,2021.06.12-08.31,3,38,展会,,北京银泰中心 in01一层,北京,3146002,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01RfRFQZ2GdSJx8pZ6r_!!2251059038.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_649009353782,-2099841055,False,0,1,0,0,大雷音乐队专场,大雷音乐队专场,100.0,100-120,120.0,[],649009353782,[],售票中,,2021.07.02 周五 21:00,3,48,livehouse,,魅现场,北京,2882003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01NJpO252GdSKYEK9ro_!!2251059038.jpg,
[],,0,3,话剧歌剧,852,北京,[],,1_1_645016480619,-2139769786,False,0,1,0,1,中国国家话剧院演出 话剧《谷文昌》,中国国家话剧院演出 话剧《谷文昌》,50.0,50-380,380.0,[],645016480619,[],售票中,,2021.07.14-07.18,3,19,话剧,,国家话剧院-剧场,北京,53360,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN018IqUxT2GdSK87ng4V_!!2251059038.jpg,
[],,0,7,展览休闲,852,北京,[],,1_1_647887775711,-2111056835,False,0,1,0,0,“有界·无界”成卓个展,“有界·无界”成卓个展,20.0,20-40,40.0,[],647887775711,[],售票中,,2021.06.12-07.04,3,38,展会,,今日美术馆3号展厅,北京,92172,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01PR8a3P2GdSKHIM9RB_!!0-item_pic.jpg,
[],,0,2,音乐会,852,北京,[],,1_1_640417691473,2109209618,False,0,0,0,1,“爱乐之城”——经典电影音乐作品音乐会,“爱乐之城”——经典电影音乐作品音乐会,100.0,100-380,380.0,[],640417691473,[],售票中,,2021.07.04-07.30,3,18,其他,,三里屯·爱乐汇艺术空间,北京,2598006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN014d9ftu2GdSJDTfYcn_!!2251059038.png,
[],,0,7,展览休闲,852,北京,[],,1_1_645714617010,-2132788422,False,0,1,0,0,生命原相 THE BARE LIFE,生命原相 THE BARE LIFE,35.0,35-60,60.0,[],645714617010,[],售票中,,2021.06.06-08.15,3,38,展会,,光社影像中心,北京,2897029,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN010qsLwN2GdSKAAnC5R_!!2251059038.jpg,
[],,0,3,话剧歌剧,852,北京,[],,1_1_645289330664,-2137041286,False,0,1,0,1,第六届中国原创话剧邀请展 原创话剧《胡同里的他俩》,第六届中国原创话剧邀请展 原创话剧《胡同里的他俩》,100.0,100-280,280.0,[],645289330664,[],售票中,,2021.07.28-07.31,3,19,话剧,,国家话剧院-小剧场,北京,53361,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01Fkv8gn2GdSK32avXQ_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_649089195600,-2099042636,False,0,1,0,0,2021南游记乐队“自发光”巡演 北京站,2021南游记乐队“自发光”巡演 北京站,80.0,80-120,120.0,[],649089195600,[],售票中,,2021.07.24 周六 20:00,3,48,livehouse,,魅现场,北京,2882003,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01K1gtVc2GdSKOVXZeY_!!0-item_pic.jpg,
[],,0,0,儿童亲子,852,北京,[],,1_1_643332753926,2138360243,False,0,0,0,1,大船文化·趣味科学启蒙·百老汇互动亲子科学剧《物理秀》中文版,大船文化·趣味科学启蒙·百老汇互动亲子科学剧《物理秀》中文版,180.0,180-380,380.0,[],643332753926,[],售票中,,2021.07.30-07.31,3,0,,,大麦·超剧场,北京,60614,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01J6pUQK2GdSJkI5WJB_!!2251059038.png,
[],,0,0,儿童亲子,852,北京,[],,1_1_648421786919,-2105716723,False,0,1,0,1,卡农 Canon—钢琴名曲金秋音乐会,卡农 Canon—钢琴名曲金秋音乐会,80.0,80-380,380.0,[],648421786919,[],售票中,,2021.08.28 周六 19:30,3,0,,,梅兰芳大剧院-大剧场,北京,564,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01e6thdk2GdSKQs1eka_!!2251059038.jpg,
[],艺人：张尕怂,0,3,话剧歌剧,852,北京,[],艺人：张尕怂,1_1_647351152904,-2116423063,False,0,0,0,1,民谣在路上系列演出之《张老汉脱贫记》,民谣在路上系列演出之《张老汉脱贫记》,180.0,180-999,999.0,[],647351152904,[],售票中,,2021.07.23 周五 19:30,3,19,话剧,,天桥艺术中心-中剧场,北京,59981,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN019sTUZn2GdSKMVkEiB_!!2251059038.jpg,
[],艺人：刘莉旻,0,1,演唱会,852,北京,[],艺人：刘莉旻,1_1_648717357454,-2102761018,False,0,1,0,0,刘莉旻「给我世界最坏的吻」2021巡演北京站,刘莉旻「给我世界最坏的吻」2021巡演北京站,100.0,100-120,120.0,[],648717357454,[],售票中,,2021.12.10 周五 20:00,3,48,livehouse,,MAO Livehouse北京,北京,92428,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01wquX2K2GdSKY3SPfg_!!2-item_pic.png,
[],,0,5,曲苑杂坛,852,北京,[],,1_1_640308032343,2108113027,False,0,0,0,0,【北京站】60min脱口秀| 硬核喜剧新秀场,【北京站】60min脱口秀| 硬核喜剧新秀场,89.0,89-148,148.0,[],640308032343,[],售票中,,2021.07.02-07.30,3,32,其他,,中国木偶剧院-小铃铛精品剧场,北京,583,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01hoNEcm2GdSJWdA5k2_!!2251059038.png,
[],,0,7,展览休闲,852,北京,[],,1_1_648255952894,-2107375064,False,0,1,0,0,“选集 类比”——意大利艺术家保罗·治奥利个展,“选集 类比”——意大利艺术家保罗·治奥利个展,35.0,35-60,60.0,[],648255952894,[],售票中,,2021.06.26-08.29,3,38,展会,,三影堂摄影艺术中心,北京,2392004,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01zMu2ea2GdSKVJxrBm_!!2251059038.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_647301080755,-2116923785,False,0,1,0,0,2021 WAGF音乐节 曹思义《海上一梦》吉他音乐会,2021 WAGF音乐节 曹思义《海上一梦》吉他音乐会,220.0,220-280,280.0,[],647301080755,[],售票中,,2021.08.20 周五 20:00,3,12,音乐节,,东方梅地亚中心M剧场,北京,57497,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01zY96kk2GdSKVSVEtW_!!0-item_pic.jpg,
[],,0,1,演唱会,852,北京,[],,1_1_647482048216,-2115114110,False,0,0,0,0,【飞狗诚献-七八九向前走】甜核+大乐队+西瓜甜核+支线任务,【飞狗诚献-七八九向前走】甜核+大乐队+西瓜甜核+支线任务,90.0,90-280,280.0,[],647482048216,[],售票中,,2021.07.08 周四 20:00,3,48,livehouse,,MAO Livehouse北京,北京,92428,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01flHTSI2GdSKUwKbWk_!!2-item_pic.png,
[],,0,3,话剧歌剧,852,北京,[],,1_1_642019227602,2125224980,False,0,1,0,1,重喜剧《你若安好，那还得了》北纬零度出品,重喜剧《你若安好，那还得了》北纬零度出品,25.0,25-460,460.0,[],642019227602,[],售票中,,2021.07.08-07.11,3,19,话剧,,77文创园剧场-77剧场,北京,57139,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN017RLEDW2GdSJWhHafF_!!0-item_pic.jpg,
[],,0,5,曲苑杂坛,852,北京,[],,1_1_642107968386,2126112387,False,0,1,0,1,大逗相声精品演出专场,大逗相声精品演出专场,80.0,80-260,260.0,[],642107968386,[],售票中,,2021.07.02-09.24,3,32,其他,,A33剧场,北京,57325,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01KUfQ6Y2GdSJjv1OSt_!!2251059038.png,
[],,0,2,音乐会,852,北京,[],,1_1_645669286990,-2133241723,False,0,0,0,1,“时间胶囊”经典ACG音乐动漫名曲音乐会,“时间胶囊”经典ACG音乐动漫名曲音乐会,100.0,100-280,280.0,[],645669286990,[],售票中,,2021.07.21 周三,3,18,其他,,三里屯·爱乐汇艺术空间,北京,2598006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01W0nxNm2GdSKMVpImU_!!2251059038.png,
[],,0,3,话剧歌剧,852,北京,[],,1_1_646252495201,-2127409640,False,0,1,0,1,奇幻森林孙峥魔术戏剧《终于失去了你》之重返青春版,奇幻森林孙峥魔术戏剧《终于失去了你》之重返青春版,150.0,150-320,320.0,[],646252495201,[],售票中,,2021.07.17-07.18,3,19,话剧,,繁星戏剧村贰剧场,北京,1145,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01M1CQcZ2GdSK72DXwC_!!2251059038.jpg,
[],,0,7,展览休闲,852,北京,[],,1_1_644512577325,-2144808819,False,0,1,0,0,NGART次世代潮流艺术季,NGART次世代潮流艺术季,48.0,48-68,68.0,[],644512577325,[],售票中,,2021.06.01-07.04,3,38,展会,,北京劝业场,北京,1449024,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01QAtIDP2GdSKEilB4W_!!2251059038.jpg,
[],,0,0,儿童亲子,852,北京,[],,1_1_642572320119,2130755905,False,0,0,0,1,中国儿童艺术剧院 镇院之宝·大型经典童话剧《马兰花》,中国儿童艺术剧院 镇院之宝·大型经典童话剧《马兰花》,120.0,120-360,360.0,[],642572320119,[],售票中,,2021.07.24-07.25,3,0,,,国家大剧院-戏剧场,北京,558,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01bFpTMV2GdSJYtv99A_!!2-item_pic.png,
[],,0,3,话剧歌剧,852,北京,[],,1_1_644463916986,-2145295423,False,0,1,0,1,第六届中国原创话剧邀请展 西安话剧院 原创话剧《长安第二碗》,第六届中国原创话剧邀请展 西安话剧院 原创话剧《长安第二碗》,100.0,100-380,380.0,[],644463916986,[],售票中,,2021.08.25-08.26,3,19,话剧,,国家话剧院-剧场,北京,53360,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN019WRZVI2GdSK0GOXBf_!!0-item_pic.jpg,
[],,0,0,儿童亲子,852,北京,[],,1_1_644812738889,-2141807204,False,0,0,0,1,上海美术电影制片厂正版授权- 雪景体验式舞台剧《雪孩子》,上海美术电影制片厂正版授权- 雪景体验式舞台剧《雪孩子》,100.0,100-480,480.0,[],644812738889,[],售票中,,2021.07.17 周六,3,0,,,未来剧院,北京,1641013,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01fZe5wB2GdSJyZKtus_!!2-item_pic.png,
[],,0,2,音乐会,852,北京,[],,1_1_642749916001,2132531864,False,0,1,0,1,彩云追月—民乐经典名曲音乐会,彩云追月—民乐经典名曲音乐会,100.0,100-880,880.0,[],642749916001,[],售票中,,2021.10.01 周五 19:30,15,18,其他,,北京音乐厅,北京,12,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01Rn63r22GdSJounvWp_!!2251059038.jpg,
